"統計名：","人口推計 各年10月1日現在人口 令和２年国勢調査基準 統計表"
"表番号：","001"
"表題：","年齢（各歳），男女別人口及び人口性比－総人口，日本人人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","/人口 コード","001","001","001","001","002","002","002","002"
"","","","","","","","","","/人口 補助コード","-","-","-","-","-","-","-","-"
"","","","","","","","","","/人口","総人口","総人口","総人口","総人口","日本人人口","日本人人口","日本人人口","日本人人口"
"","","","","","","","","","/男女別・性比 コード","001","002","003","004","001","002","003","004"
"","","","","","","","","","/男女別・性比 補助コード","-","-","-","-","-","-","-","-"
"全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢各歳 コード","年齢各歳 補助コード","年齢各歳","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"00000","","全国","1601","","2020年10月1日現在","01044","","43歳","","1,737","881","856","***","1,697","863","834","***"
"00000","","全国","1601","","2020年10月1日現在","01045","","44歳","","1,819","923","896","***","1,780","906","874","***"
"00000","","全国","1601","","2020年10月1日現在","01046","","45歳","","1,893","959","934","***","1,855","943","912","***"
"00000","","全国","1601","","2020年10月1日現在","01047","","46歳","","2,001","1,014","986","***","1,963","999","965","***"
"00000","","全国","1601","","2020年10月1日現在","01048","","47歳","","2,036","1,029","1,007","***","1,998","1,013","985","***"
"00000","","全国","1601","","2020年10月1日現在","01049","","48歳","","1,998","1,011","987","***","1,961","996","965","***"
"00000","","全国","1601","","2020年10月1日現在","01050","","49歳","","1,940","980","960","***","1,902","965","937","***"
"00000","","全国","1601","","2020年10月1日現在","01051","","50歳","","1,880","949","932","***","1,843","934","909","***"
"00000","","全国","1601","","2020年10月1日現在","01052","","51歳","","1,850","931","919","***","1,814","917","896","***"
"00000","","全国","1601","","2020年10月1日現在","01053","","52歳","","1,805","908","897","***","1,770","894","876","***"
"00000","","全国","1601","","2020年10月1日現在","01054","","53歳","","1,799","904","895","***","1,768","892","876","***"
"00000","","全国","1601","","2020年10月1日現在","01055","","54歳","","1,404","702","701","***","1,375","691","684","***"
"00000","","全国","1601","","2020年10月1日現在","01056","","55歳","","1,728","866","863","***","1,699","854","845","***"
"00000","","全国","1601","","2020年10月1日現在","01057","","56歳","","1,619","810","809","***","1,590","798","792","***"
"00000","","全国","1601","","2020年10月1日現在","01058","","57歳","","1,576","788","789","***","1,549","776","772","***"
"00000","","全国","1601","","2020年10月1日現在","01059","","58歳","","1,524","761","764","***","1,500","751","750","***"
"00000","","全国","1601","","2020年10月1日現在","01060","","59歳","","1,492","743","749","***","1,471","734","736","***"
"00000","","全国","1601","","2020年10月1日現在","01061","","60歳","","1,500","744","755","***","1,479","736","743","***"
"00000","","全国","1601","","2020年10月1日現在","01062","","61歳","","1,524","756","769","***","1,506","748","758","***"
"00000","","全国","1601","","2020年10月1日現在","01063","","62歳","","1,479","730","749","***","1,461","723","738","***"
"00000","","全国","1601","","2020年10月1日現在","01064","","63歳","","1,435","707","728","***","1,418","700","718","***"
"00000","","全国","1601","","2020年10月1日現在","01065","","64歳","","1,504","739","765","***","1,488","732","755","***"
"00000","","全国","1601","","2020年10月1日現在","01066","","65歳","","1,546","759","788","***","1,531","752","779","***"
"00000","","全国","1601","","2020年10月1日現在","01067","","66歳","","1,542","753","789","***","1,528","747","781","***"
"00000","","全国","1601","","2020年10月1日現在","01068","","67歳","","1,630","791","839","***","1,618","785","832","***"
"00000","","全国","1601","","2020年10月1日現在","01069","","68歳","","1,714","828","886","***","1,701","822","879","***"
"00000","","全国","1601","","2020年10月1日現在","01070","","69歳","","1,804","868","936","***","1,793","863","930","***"
"00000","","全国","1601","","2020年10月1日現在","01071","","70歳","","1,924","918","1,005","***","1,913","913","1,000","***"
